vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
VTS,2009-04-07 13:09:00 UTC,2009-04-07 13:09:00 UTC,-73.973032,40.757513,-73.973055,40.757508,,1,0.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-19 08:35:45 UTC,2009-01-19 08:35:51 UTC,-73.984622,40.745162,-73.98455,40.745141,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-02-23 12:01:00 UTC,2009-02-23 12:01:00 UTC,-74.001133,40.722193,-74.001835,40.722477,,5,0.05,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-02-18 13:50:00 UTC,2009-02-18 13:51:00 UTC,-73.960107,40.809693,-73.962407,40.810203,,1,0.14,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-02-21 10:47:00 UTC,2010-02-22 00:00:00 UTC,0.0,0.0,-73.980315,40.74509,1,2,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,2009-08-22 17:22:05 UTC,2009-08-22 17:22:22 UTC,-73.70225,40.737212,-73.70225,40.737212,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-09-07 19:26:00 UTC,2009-09-07 19:26:00 UTC,-73.781883,40.644843,-73.781872,40.64483,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-15 10:37:15 UTC,2009-01-15 10:37:56 UTC,-73.984458,40.737074,-73.982434,40.736173,,1,0.1,NOC,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-06-06 06:02:00 UTC,2009-06-06 06:03:00 UTC,-73.776985,40.645088,-73.776985,40.645088,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-16 12:19:00 UTC,2009-10-16 12:20:00 UTC,-73.982115,40.77539,-73.982025,40.774767,,5,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-07-27 11:30:25 UTC,2009-07-27 11:44:48 UTC,-73.985993,40.756639,-74.007478,40.741087,,2,1.6,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-21 15:06:00 UTC,2009-04-21 15:23:00 UTC,-73.844648,40.721648,-73.844648,40.721648,,2,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-03-09 07:02:00 UTC,2009-03-09 07:03:00 UTC,-73.952043,40.77731,-73.952488,40.77655,,1,0.07,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-20 07:27:00 UTC,2009-08-20 07:27:00 UTC,-73.909902,40.749283,-73.909902,40.749283,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-07-22 11:43:00 UTC,2009-07-22 11:43:00 UTC,-73.862148,40.768297,-73.862147,40.768298,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-05-26 13:50:00 UTC,2010-05-26 13:50:00 UTC,-74.175757,40.879037,-74.175757,40.879037,1,1,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,2009-03-28 13:24:19 UTC,2009-03-28 13:27:03 UTC,-73.982108,40.762881,-73.982108,40.762881,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-15 09:08:00 UTC,2009-04-15 09:10:00 UTC,-73.898753,40.751333,-73.898868,40.75164,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-05-15 14:41:00 UTC,2009-05-15 14:41:00 UTC,-73.978337,40.762717,-73.97787,40.762772,,5,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-05-12 14:58:00 UTC,2009-05-12 14:58:00 UTC,-73.78979,40.647182,-73.789853,40.647112,,5,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-02-07 13:21:39 UTC,2009-02-07 13:21:47 UTC,-73.952822,40.780454,-73.95267,40.780691,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-05-15 06:06:00 UTC,2009-05-15 06:06:00 UTC,-73.983565,40.758727,-73.983702,40.758795,,6,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-16 13:35:00 UTC,2009-10-16 13:35:00 UTC,-74.006268,40.739847,-74.006268,40.739847,,3,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-14 15:20:00 UTC,2009-08-14 15:20:00 UTC,-73.982973,40.735067,-73.983007,40.735035,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
